2014/11/1,0,1
2014/11/2,0,1
2014/11/3,0,1
2014/11/4,0,1
2014/11/5,0,1
2014/11/6,0,1
2014/11/7,0,1
2014/11/8,0,1
2014/11/9,0,1
2014/11/10,0,1
2014/11/11,0,1
2014/11/12,0,1
2014/11/13,0,1
2014/11/14,2,1
2014/11/15,0,1
2014/11/16,0,1
2014/11/17,0,1
2014/11/18,0,1
2014/11/19,0,1
2014/11/20,0,1
2014/11/21,0,1
2014/11/22,0,1
2014/11/23,0,1
2014/11/24,0,1
2014/11/25,0,1
2014/11/26,0,1
2014/11/27,0,1
2014/11/28,0,1
2014/11/29,0,1
2014/11/30,0,1
2014/12/1,0,1
2014/12/2,0,1
2014/12/3,0,1
2014/12/4,1,1
2014/12/5,7,1
2014/12/6,6,1
2014/12/7,8,1
2014/12/8,15,1
2014/12/9,27,1
2014/12/10,1,1
2014/12/11,3,1
2014/12/12,11,1
2014/12/13,1,1
2014/12/14,27,1
2014/12/15,13,1
2014/12/16,6,1
2014/12/17,6,1
2014/12/18,1,1
2014/12/19,8,1
2014/12/20,0,1
2014/12/21,1,1
2014/12/22,5,1
2014/12/23,3,1
2014/12/24,25,1
2014/12/25,22,1
2014/12/26,34,1
2014/12/27,2,1
2014/12/28,1,1
2014/12/29,1,1
2014/12/30,17,1
2014/12/31,15,1
2015/1/1,0,1
2015/1/2,25,1
2015/1/3,13,1
2015/1/4,13,1
2015/1/5,0,1
2015/1/6,4,1
2015/1/7,9,1
2015/1/8,8,1
2015/1/9,5,1
2015/1/10,25,1
2015/1/11,5,1
2015/1/12,2,1
2015/1/13,3,1
2015/1/14,0,1
2015/1/15,2,1
2015/1/16,7,1
2015/1/17,15,1
2015/1/18,10,1
2015/1/19,7,1
2015/1/20,19,1
2015/1/21,4,1
2015/1/22,3,1
2015/1/23,5,1
2015/1/24,0,1
2015/1/25,0,1
2015/1/26,1,1
2015/1/27,1,1
2015/1/28,20,1
2015/1/29,0,1
2015/1/30,0,1
2015/1/31,2,1
2015/2/1,13,1
2015/2/2,3,1
2015/2/3,0,1
2015/2/4,0,1
2015/2/5,0,1
2015/2/6,0,1
2015/2/7,2,1
2015/2/8,1,1
2015/2/9,3,1
2015/2/10,1,1
2015/2/11,3,1
2015/2/12,10,1
2015/2/13,9,1
2015/2/14,5,1
2015/2/15,2,1
2015/2/16,0,1
2015/2/17,0,1
2015/2/18,2,1
2015/2/19,1,1
2015/2/20,0,1
2015/2/21,0,1
2015/2/22,2,1
2015/2/23,1,1
2015/2/24,4,1
2015/2/25,5,1
2015/2/26,2,1
2015/2/27,6,1
2015/2/28,5,1
2015/3/1,1,1
2015/3/2,5,1
2015/3/3,0,1
2015/3/4,7,1
2015/3/5,6,1
2015/3/6,7,1
2015/3/7,4,1
2015/3/8,1,1
2015/3/9,1,1
2015/3/10,2,1
2015/3/11,0,1
2015/3/12,9,1
2015/3/13,3,1
2015/3/14,2,1
2015/3/15,0,1
2015/3/16,2,1
2015/3/17,4,1
2015/3/18,1,1
2015/3/19,1,1
2015/3/20,0,1
2015/3/21,1,1
2015/3/22,0,1
2015/3/23,2,1
2015/3/24,2,1
2015/3/25,2,1
2015/3/26,1,1
2015/3/27,0,1
2015/3/28,0,1
2015/3/29,0,1
2015/3/30,0,1
2015/3/31,2,1
2015/4/1,1,1
2015/11/1,0,1
2015/11/2,0,1
2015/11/3,0,1
2015/11/4,0,1
2015/11/5,0,1
2015/11/6,0,1
2015/11/7,0,1
2015/11/8,0,1
2015/11/9,0,1
2015/11/10,0,1
2015/11/11,0,1
2015/11/12,0,1
2015/11/13,0,1
2015/11/14,0,1
2015/11/15,0,1
2015/11/16,0,1
2015/11/17,0,1
2015/11/18,0,1
2015/11/19,0,1
2015/11/20,0,1
2015/11/21,0,1
2015/11/22,0,1
2015/11/23,0,1
2015/11/24,17,1
2015/11/25,1,1
2015/11/26,0,1
2015/11/27,1,1
2015/11/28,1,1
2015/11/29,3,1
2015/11/30,2,1
2015/12/1,9,1
2015/12/2,1,1
2015/12/3,0,1
2015/12/4,0,1
2015/12/5,2,1
2015/12/6,5,1
2015/12/7,8,1
2015/12/8,2,1
2015/12/9,1,1
2015/12/10,0,1
2015/12/11,1,1
2015/12/12,0,1
2015/12/13,0,1
2015/12/14,0,1
2015/12/15,0,1
2015/12/16,0,1
2015/12/17,8,1
2015/12/18,17,1
2015/12/19,3,1
2015/12/20,0,1
2015/12/21,2,1
2015/12/22,0,1
2015/12/23,1,1
2015/12/24,0,1
2015/12/25,10,1
2015/12/26,0,1
2015/12/27,6,1
2015/12/28,1,1
2015/12/29,7,1
2015/12/30,17,1
2015/12/31,3,1
2016/1/1,3,1
2016/1/2,1,1
2016/1/3,1,1
2016/1/4,4,1
2016/1/5,3,1
2016/1/6,4,1
2016/1/7,9,1
2016/1/8,0,1
2016/1/9,4,1
2016/1/10,12,1
2016/1/11,12,1
2016/1/12,1,1
2016/1/13,2,1
2016/1/14,30,1
2016/1/15,13,1
2016/1/16,12,1
2016/1/17,20,1
2016/1/18,5,1
2016/1/19,0,1
2016/1/20,0,1
2016/1/21,4,1
2016/1/22,17,1
2016/1/23,1,1
2016/1/24,1,1
2016/1/25,10,1
2016/1/26,0,1
2016/1/27,8,1
2016/1/28,2,1
2016/1/29,5,1
2016/1/30,6,1
2016/1/31,2,1
2016/2/1,4,1
2016/2/2,1,1
2016/2/3,7,1
2016/2/4,0,1
2016/2/5,1,1
2016/2/6,0,1
2016/2/7,8,1
2016/2/8,1,1
2016/2/9,8,1
2016/2/10,7,1
2016/2/11,0,1
2016/2/12,0,1
2016/2/13,0,1
2016/2/14,4,1
2016/2/15,2,1
2016/2/16,0,1
2016/2/17,9,1
2016/2/18,5,1
2016/2/19,5,1
2016/2/20,6,1
2016/2/21,12,1
2016/2/22,3,1
2016/2/23,5,1
2016/2/24,16,1
2016/2/25,8,1
2016/2/26,6,1
2016/2/27,0,1
2016/2/28,0,1
2016/2/29,24,1
2016/3/1,7,1
2016/3/2,6,1
2016/3/3,4,1
2016/3/4,2,1
2016/3/5,1,1
2016/3/6,1,1
2016/3/7,1,1
2016/3/8,1,1
2016/3/9,2,1
2016/3/10,13,1
2016/3/11,1,1
2016/3/12,4,1
2016/3/13,0,1
2016/3/14,2,1
2016/3/15,0,1
2016/3/16,0,1
2016/3/17,0,1
